tên hồ,Qve,Tqx,Qxt,Qxm
Đồng Nai 4,191.12,156.74,2.5,154.24
Đơn Dương,9.68,27.71,0.0,27.71
Đại Ninh,8.0,55.7,0.7,55.0
Hàm Thuận,8.68,51.18,2.9,48.28
Đa Mi,48.41,32.3,0.0,32.3
Pleikrông,140.0,70.0,0.0,70.0
Ialy,113.0,238.0,0.0,238.0
Sê San 3,247.0,476.0,0.0,476.0
Sê San 3A,472.0,472.0,0.0,472.0
Sê San 4,534.0,240.0,0.0,240.0
Kanak,6.02,16.32,0.0,16.32
An Khê,33.72,46.0,4.0,42.0
Srêpốk 3,178.0,196.74,0.74,196.0
Buôn Kuốp,106.0,132.0,0.0,132.0
Buôn Tua Srah,3.0,174.0,0.0,174.0
Đồng Nai 3,4.35,179.02,0.0,179.02
Đồng Nai 4,186.4,163.5,2.5,161.0
Đơn Dương,14.74,27.53,0.0,27.53
Đại Ninh,10.0,54.7,0.7,54.0
Hàm Thuận,16.73,34.94,2.9,32.04
Đa Mi,33.07,38.07,0.0,38.07
Pleikrông,70.0,70.0,0.0,70.0
Ialy,161.0,380.0,0.0,380.0
Sê San 3,388.0,322.0,0.0,322.0
Sê San 3A,243.0,243.0,0.0,243.0
Sê San 4,93.0,240.0,0.0,240.0
Kanak,7.54,28.0,0.0,28.0
An Khê,33.6,46.0,4.0,42.0
Srêpốk 3,146.0,206.74,0.74,206.0
Buôn Kuốp,101.0,152.0,0.0,152.0
Buôn Tua Srah,7.0,174.0,0.0,174.0
Đồng Nai 3,77.29,179.18,0.0,179.18
Đồng Nai 4,179.75,167.99,2.5,165.49
Đơn Dương,14.75,27.54,0.0,27.54
Đại Ninh,6.0,55.7,0.7,55.0
Hàm Thuận,9.29,45.72,2.9,42.82
Đa Mi,43.6,41.93,0.0,41.93
Pleikrông,69.0,8.0,0.0,8.0
Ialy,97.0,205.0,0.0,205.0
Sê San 3,211.0,185.0,0.0,185.0
Sê San 3A,220.0,194.0,0.0,194.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,6.74,28.0,0.0,28.0
An Khê,34.6,50.0,8.0,42.0
Srêpốk 3,125.0,338.74,0.74,338.0
Buôn Kuốp,100.0,279.0,0.0,279.0
Buôn Tua Srah,29.0,176.0,0.0,176.0
Đồng Nai 3,45.68,74.79,0.0,74.79
Đồng Nai 4,108.78,85.86,2.5,83.36
Đơn Dương,12.12,27.53,0.0,27.53
Đại Ninh,11.0,42.7,0.7,42.0
Hàm Thuận,16.54,22.61,2.9,19.71
Đa Mi,22.28,38.39,0.0,38.39
Pleikrông,70.0,70.0,0.0,70.0
Ialy,152.0,379.0,0.0,379.0
Sê San 3,386.0,206.0,0.0,206.0
Sê San 3A,204.0,238.0,0.0,238.0
Sê San 4,828.0,240.0,0.0,240.0
Kanak,6.13,28.0,0.0,28.0
An Khê,29.46,50.0,8.0,42.0
Srêpốk 3,220.0,182.74,0.74,182.0
Buôn Kuốp,102.0,153.0,0.0,153.0
Buôn Tua Srah,56.0,176.0,0.0,176.0
Đồng Nai 3,92.0,179.34,0.0,179.34
Đồng Nai 4,181.1,181.4,2.5,178.9
Đơn Dương,12.41,27.82,0.0,27.82
Đại Ninh,4.0,28.7,0.7,28.0
Hàm Thuận,15.31,57.809999999999995,2.9,54.91
Đa Mi,55.98,57.65,0.0,57.65
Pleikrông,140.0,95.0,0.0,95.0
Ialy,184.0,184.0,0.0,184.0
Sê San 3,190.0,141.0,0.0,141.0
Sê San 3A,179.0,213.0,0.0,213.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,5.47,28.0,0.0,28.0
An Khê,34.39,46.0,4.0,42.0
Srêpốk 3,159.0,204.74,0.74,204.0
Buôn Kuốp,70.0,300.0,0.0,300.0
Buôn Tua Srah,53.0,178.0,0.0,178.0
Đồng Nai 3,14.6,138.4,0.0,138.4
Đồng Nai 4,158.54,181.46,2.5,178.96
Đơn Dương,10.16,27.58,0.0,27.58
Đại Ninh,11.0,39.7,0.7,39.0
Hàm Thuận,15.13,94.06,2.9,91.16
Đa Mi,92.32,45.37,0.0,45.37
Pleikrông,170.0,198.0,0.0,198.0
Ialy,254.0,356.0,0.0,356.0
Sê San 3,367.0,350.0,0.0,350.0
Sê San 3A,322.0,281.0,0.0,281.0
Sê San 4,240.0,240.0,0.0,240.0
