tên hồ,Qve,Tqx,Qxt,Qxm
Sông Tranh 2,67.25,124.03,5.7,118.33
Sông Ba Hạ,35.0,0.0,0.0,0.0
Sông Hinh,47.0,47.0,0.0,47.0
A Vương,26.2,1.8,0.0,1.8
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.7,13.2,0.0,13.2
Sông Bung 4,34.56,78.0,0.0,78.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,68.64,182.36999999999998,5.7,176.67
Sông Ba Hạ,65.0,0.0,0.0,0.0
Sông Hinh,48.96,48.96,0.0,48.96
A Vương,33.4,33.4,0.0,33.4
Sông Bung 2,17.69,32.64,0.0,32.64
Vĩnh Sơn A,5.4,12.9,0.0,12.9
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.0,0.0,0.0,0.0
Sông Tranh 2,80.45,165.7,5.7,160.0
Sông Ba Hạ,50.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,36.0,60.4,0.0,60.4
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,10.3,12.3,0.0,12.3
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.0,0.0,0.0,0.0
Sông Tranh 2,43.64,185.7,5.7,180.0
Sông Ba Hạ,76.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,45.4,69.8,0.0,69.8
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,7.45,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.0,0.0,0.0,0.0
Sông Tranh 2,68.79,182.36999999999998,5.7,176.67
Sông Ba Hạ,116.0,145.0,0.0,145.0
Sông Hinh,47.0,47.0,0.0,47.0
A Vương,47.5,71.9,0.0,71.9
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,3.7,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,48.93,105.7,5.7,100.0
Sông Ba Hạ,75.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,28.3,77.1,0.0,77.1
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,3.7,13.2,0.0,13.2
Sông Bung 4,81.56,125.0,0.0,125.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,77.26,105.7,5.7,100.0
