tên hồ,Qve,Tqx,Qxt,Qxm
Thác Bà,117.17051509769094,186.13,0,186.13
Bản Chát,15.2,263.8,0,263.8
Huội Quảng,299.5,316.9,0,316.9
Sơn La,1508.0,1147.0,0,1147.0
Hòa Bình,944.0,754.0,0,754.0
Thác Bà,117.17051509769094,120.98,0,120.98
Bản Chát,8.8,265.3,0,265.3
Huội Quảng,284.7,359.1,0,359.1
Sơn La,1480.0,1786.0,0,1786.0
Hòa Bình,1532.0,1088.0,0,1088.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,23.6,266.8,0,266.8
Huội Quảng,270.8,333.0,0,333.0
Sơn La,1470.0,914.0,0,914.0
Hòa Bình,880.0,1201.0,0,1201.0
Thác Bà,117.17051509769094,305.6,0,305.6
Bản Chát,23.9,268.4,0,268.4
Huội Quảng,286.7,360.0,0,360.0
Sơn La,1519.0,1241.0,0,1241.0
Hòa Bình,1358.0,1508.0,0,1508.0
Thác Bà,117.17051509769094,306.23,0,306.23
Bản Chát,23.0,267.6,0,267.6
Huội Quảng,269.9,359.9,0,359.9
Sơn La,1490.0,1573.0,0,1573.0
Hòa Bình,1966.0,1521.0,0,1521.0
Thác Bà,117.17051509769094,307.36,0,307.36
Bản Chát,8.3,266.7,0,266.7
Huội Quảng,274.6,359.4,0,359.4
Sơn La,897.0,703.0,0,703.0
Hòa Bình,650.0,1140.0,0,1140.0
Thác Bà,117.17051509769094,143.0,0,143.0
Bản Chát,10.0,268.4,0,268.4
Huội Quảng,274.9,359.7,0,359.7
Sơn La,1615.0,2143.0,0,2143.0
Hòa Bình,1408.0,1218.0,0,1218.0
Thác Bà,117.17051509769094,308.77,0,308.77
Bản Chát,8.4,267.6,0,267.6
Huội Quảng,278.0,317.7,0,317.7
Sơn La,1384.0,2217.0,0,2217.0
Hòa Bình,1351.0,1160.0,0,1160.0
Thác Bà,117.17051509769094,148.03,0,148.03
Bản Chát,13.3,269.5,0,269.5
Huội Quảng,272.6,357.4,0,357.4
Sơn La,1570.0,1459.0,0,1459.0
Hòa Bình,1537.0,1174.0,0,1174.0
Thác Bà,117.17051509769094,146.91,0,146.91
Bản Chát,25.7,267.5,0,267.5
Huội Quảng,272.0,356.0,0,356.0
Sơn La,1422.0,1228.0,0,1228.0
Hòa Bình,1758.0,1478.0,0,1478.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,6.6,266.7,0,266.7
Huội Quảng,282.8,356.0,0,356.0
Sơn La,1526.0,1248.0,0,1248.0
Hòa Bình,1681.0,1325.0,0,1325.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,3.5,270.0,0,270.0
Huội Quảng,271.6,311.3,0,311.3
Sơn La,1434.0,1156.0,0,1156.0
Hòa Bình,1054.0,861.0,0,861.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,20.7,269.3,0,269.3
Huội Quảng,253.1,326.6,0,326.6
Sơn La,1129.0,101.0,0,101.0
Hòa Bình,722.0,615.0,0,615.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,148.0,268.5,0,268.5
Huội Quảng,302.7,353.7,0,353.7
Sơn La,725.0,169.0,0,169.0
Hòa Bình,1195.0,1088.0,0,1088.0
Thác Bà,117.17051509769094,107.97,0,107.97
Bản Chát,65.0,267.2,0,267.2
Huội Quảng,322.0,350.8,0,350.8
Sơn La,1369.0,147.0,0,147.0
Hòa Bình,1057.0,1471.0,0,1471.0
Thác Bà,117.17051509769094,131.31,0,131.31
Bản Chát,49.0,268.7,0,268.7
Huội Quảng,288.4,351.2,0,351.2
Sơn La,878.0,378.0,0,378.0
Hòa Bình,531.0,1031.0,0,1031.0
