tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Sông Bung 4,26/10 23:00,216.92,222.5,205.0,163.78,204.0,44.0,160.0,0,1
Vĩnh Sơn B,26/10 23:00,821.81,826.0,813.6,19.86,0.0,0.0,,0,0
Vĩnh Sơn C,26/10 23:00,979.7,981.0,971.3,17.46,0.0,0.0,,0,0
Sông Tranh 2,26/10 23:45,167.98,175.0,140.0,642.58,1235.92,1027.92,208.0,0,6
Sông Ba Hạ,26/10 23:00,102.28,105.0,101.0,1300.0,1200.0,800.0,400.0,0,8
Sông Hinh,26/10 23:00,202.91,209.0,196.0,529.28,54.83,0.0,54.83,0,0
A Vương,27/10 23:00,370.92,380.0,340.0,398.34,398.34,320.94,77.4,0,3
Sông Bung 2,27/10 23:00,596.87,605.0,565.0,320.53,94.34,61.7,32.64,0,1
Vĩnh Sơn A,27/10 23:00,775.76,775.0,765.0,57.67,49.89,36.69,13.2,0,0
Sông Bung 4,27/10 23:00,217.43,222.5,205.0,782.44,340.0,180.0,160.0,0,2
Vĩnh Sơn B,27/10 23:00,822.13,826.0,813.6,10.64,0.0,0.0,,0,0
Vĩnh Sơn C,27/10 23:00,980.02,981.0,971.3,6.03,0.0,0.0,,0,0
Sông Tranh 2,27/10 23:45,167.23,175.0,140.0,1547.91,1343.47,1129.47,214.0,0,6
Sông Ba Hạ,27/10 23:00,102.88,105.0,101.0,2145.0,2000.0,1600.0,400.0,0,12
Sông Hinh,27/10 23:00,205.6,209.0,196.0,316.31,54.83,0.0,54.83,0,0
A Vương,28/10 23:00,371.87,380.0,340.0,193.99,103.08,25.18,77.9,0,1
Sông Bung 2,28/10 23:00,597.97,605.0,565.0,79.64,79.64,47.0,32.64,0,1
Vĩnh Sơn A,28/10 23:00,775.87,775.0,765.0,57.1,57.1,43.9,13.2,0,0
Sông Bung 4,28/10 23:00,217.62,222.5,205.0,354.56,435.0,275.0,160.0,0,2
Vĩnh Sơn B,28/10 23:00,822.61,826.0,813.6,21.28,0.0,0.0,,0,0
Vĩnh Sơn C,28/10 23:00,980.48,981.0,971.3,6.03,0.0,0.0,,0,0
Sông Tranh 2,28/10 23:00,167.97,175.0,140.0,542.97,287.41,73.41,214.0,0,1
Sông Ba Hạ,28/10 23:00,102.97,105.0,101.0,1983.0,2000.0,1600.0,400.0,0,12
Sông Hinh,28/10 23:00,206.02,209.0,196.0,148.98,54.83,0.0,54.83,0,0
A Vương,29/10 23:00,372.6,380.0,340.0,172.69,104.51,26.21,78.3,0,1
Sông Bung 2,29/10 23:00,598.15,605.0,565.0,76.7,56.74,24.1,32.64,0,1
