tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Đại Ninh,12/01 23:00,879.22,880.0,860.0,10.0,35.7,0.7,35.0,0,0
Hàm Thuận,12/01 23:00,601.25,605.0,575.0,19.8,13.1,2.9,10.2,0,0
Đa Mi,12/01 23:00,323.35,325.0,323.0,10.66,10.66,0.0,10.66,0,0
Pleikrông,13/01 23:00,569.98,570.0,537.0,122.0,87.0,0.0,87.0,0,0
Ialy,13/01 23:00,513.54,515.0,490.0,228.0,303.0,0.0,303.0,0,0
Sê San 3,13/01 23:00,303.82,304.5,303.2,314.0,243.0,0.0,243.0,0,0
Sê San 3A,13/01 23:00,238.96,239.0,238.5,243.0,243.0,0.0,243.0,0,0
Sê San 4,13/01 23:00,210.89,215.0,210.0,240.0,240.0,0.0,240.0,0,0
Kanak,13/01 23:00,514.25,515.0,485.0,12.9,14.0,0.0,14.0,0,0
An Khê,13/01 23:00,428.61,429.0,427.0,37.39,46.0,4.0,42.0,0,1
Srêpốk 3,13/01 23:00,269.76,272.0,268.0,235.0,202.73,0.73,202.0,2,0
Buôn Kuốp,13/01 23:00,409.62,412.0,409.0,147.0,300.0,0.0,300.0,0,0
Buôn Tua Srah,13/01 23:00,486.6,487.5,465.0,34.0,147.0,0.0,147.0,0,0
Đồng Nai 3,13/01 23:00,588.96,590.0,570.0,45.13,88.8,0.0,88.8,0,0
Đồng Nai 4,13/01 23:00,475.28,476.0,474.0,109.4,75.02,2.5,72.52,0,0
Đơn Dương,13/01 23:00,1042.12,1042.0,1018.0,23.36,15.22,0.0,15.22,0,0
Đại Ninh,13/01 23:00,879.15,880.0,860.0,15.0,53.7,0.7,53.0,0,0
Hàm Thuận,13/01 23:00,601.22,605.0,575.0,14.14,14.14,2.9,11.24,0,0
Đa Mi,13/01 23:00,323.22,325.0,323.0,11.68,21.32,0.0,21.32,0,0
Pleikrông,14/01 23:00,569.98,570.0,537.0,115.0,79.0,0.0,79.0,0,0
Ialy,14/01 23:00,513.6,515.0,490.0,177.0,253.0,0.0,253.0,0,0
Sê San 3,14/01 23:00,304.5,304.5,303.2,263.0,243.0,0.0,243.0,0,0
Sê San 3A,14/01 23:00,238.96,239.0,238.5,245.0,269.0,0.0,269.0,0,0
Sê San 4,14/01 23:00,210.93,215.0,210.0,387.0,240.0,0.0,240.0,0,0
Kanak,14/01 23:00,514.24,515.0,485.0,11.4,28.0,0.0,28.0,0,0
An Khê,14/01 23:00,428.49,429.0,427.0,7.64,46.0,4.0,42.0,0,1
Srêpốk 3,14/01 23:00,270.04,272.0,268.0,228.0,204.74,0.74,204.0,2,0
Buôn Kuốp,14/01 23:00,410.14,412.0,409.0,153.0,153.0,0.0,153.0,0,0
Buôn Tua Srah,14/01 23:00,486.53,487.5,465.0,32.0,135.0,0.0,135.0,0,0
Đồng Nai 3,14/01 23:00,588.9,590.0,570.0,63.11,34.0,0.0,34.0,0,0
Đồng Nai 4,14/01 23:00,475.45,476.0,474.0,25.41,2.5,2.5,0.0,0,0
Đơn Dương,14/01 23:00,1042.1,1042.0,1018.0,19.05,23.99,0.0,23.99,0,0
Đại Ninh,14/01 23:00,879.07,880.0,860.0,11.0,54.7,0.7,54.0,0,0
Hàm Thuận,14/01 23:00,601.18,605.0,575.0,10.93,24.34,2.9,21.44,0,0
Đa Mi,14/01 23:00,323.15,325.0,323.0,24.41,8.3,0.0,8.3,0,0
Pleikrông,15/01 23:00,569.97,570.0,537.0,93.0,95.0,0.0,95.0,0,0
Ialy,15/01 23:00,513.62,515.0,490.0,246.0,246.0,0.0,246.0,0,0
Sê San 3,15/01 23:00,304.25,304.5,303.2,260.0,275.0,0.0,275.0,0,0
